2014-03-10T17:00:06+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/article/id/17
2014-03-10T17:02:57+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/article/id/17
2014-03-10T17:05:44+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/article/id/17
2014-03-10T17:14:20+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/index/article/id/17
2014-03-10T17:14:38+01:00 INFO (6): 12582912 (bytes), 12288 (ko), 12.118343195266 (mo) => /bdemiage/
2014-03-10T17:14:44+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/admin
2014-03-10T17:14:44+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-10T17:14:44+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-10T17:14:47+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-10T17:15:12+01:00 INFO (6): 12582912 (bytes), 12288 (ko), 12.118343195266 (mo) => /bdemiage/
2014-03-10T17:15:19+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/admin
2014-03-10T17:15:20+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-10T17:15:20+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-10T17:15:23+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-10T17:15:25+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/index/articles
2014-03-10T17:16:08+01:00 INFO (6): 12582912 (bytes), 12288 (ko), 12.118343195266 (mo) => /bdemiage/
2014-03-10T17:16:40+01:00 INFO (6): 12582912 (bytes), 12288 (ko), 12.118343195266 (mo) => /bdemiage/
2014-03-10T17:19:41+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-10T17:19:45+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/index/articles
2014-03-10T17:19:48+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
2014-03-10T17:19:59+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-10T17:23:28+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-10T17:23:33+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/extra/about
2014-03-10T17:23:35+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
