2014-03-11T21:21:13+01:00 INFO (6): 13107200 (bytes), 12800 (ko), 12.623274161736 (mo) => /bdemiage/
2014-03-11T21:39:32+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-11T21:39:38+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-11T21:43:15+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-11T21:43:50+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/admin
2014-03-11T21:43:50+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/jquery-inputlimiter/jquery.inputlimiter.1.0.css
2014-03-11T21:43:50+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/jquery-inputlimiter/jquery.inputlimiter.1.3.1.min.js
2014-03-11T21:43:53+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/admin/article/list
2014-03-11T21:43:54+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/jquery-inputlimiter/jquery.inputlimiter.1.0.css
2014-03-11T21:43:54+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/jquery-inputlimiter/jquery.inputlimiter.1.3.1.min.js
2014-03-11T21:43:57+01:00 INFO (6): 13893632 (bytes), 13568 (ko), 13.38067061144 (mo) => /bdemiage/admin/article/update/id/6
2014-03-11T21:43:57+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/resources/plugins/jquery-inputlimiter/jquery.inputlimiter.1.0.css
2014-03-11T21:43:57+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/jquery-inputlimiter/jquery.inputlimiter.1.3.1.min.js
2014-03-11T21:44:02+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-11T21:44:02+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-11T21:46:10+01:00 INFO (6): 13893632 (bytes), 13568 (ko), 13.38067061144 (mo) => /bdemiage/admin/article/update/id/6
2014-03-11T21:46:10+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-11T21:46:10+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-11T21:47:09+01:00 INFO (6): 13893632 (bytes), 13568 (ko), 13.38067061144 (mo) => /bdemiage/admin/article/update/id/6
2014-03-11T21:47:10+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-11T21:47:10+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-11T21:47:28+01:00 INFO (6): 13893632 (bytes), 13568 (ko), 13.38067061144 (mo) => /bdemiage/admin/article/update/id/6
2014-03-11T21:47:28+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-11T21:47:29+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-11T21:55:00+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-11T21:55:02+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
2014-03-11T21:56:13+01:00 INFO (6): 11534336 (bytes), 11264 (ko), 11.108481262327 (mo) => /bdemiage/admin
2014-03-11T21:56:13+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/jquery.min.map
2014-03-11T21:56:13+01:00 INFO (6): 11796480 (bytes), 11520 (ko), 11.360946745562 (mo) => /bdemiage/resources/plugins/dashboard/js/dist/jquery-migrate.min.map
2014-03-11T21:56:23+01:00 INFO (6): 12058624 (bytes), 11776 (ko), 11.613412228797 (mo) => /bdemiage/
2014-03-11T21:56:24+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/admin/auth/subscribe
2014-03-11T21:58:54+01:00 INFO (6): 12582912 (bytes), 12288 (ko), 12.118343195266 (mo) => /bdemiage/
2014-03-11T21:59:48+01:00 INFO (6): 14942208 (bytes), 14592 (ko), 14.390532544379 (mo) => /bdemiage/extra/contact
2014-03-11T22:00:23+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
2014-03-11T22:01:20+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
2014-03-11T22:02:10+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
2014-03-11T22:02:56+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
2014-03-11T22:03:08+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:03:47+01:00 INFO (6): 14417920 (bytes), 14080 (ko), 13.885601577909 (mo) => /bdemiage/extra/contact
2014-03-11T22:05:02+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:05:12+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:05:14+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:07:07+01:00 INFO (6): 12320768 (bytes), 12032 (ko), 11.865877712032 (mo) => /bdemiage/
2014-03-11T22:07:08+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:07:11+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:07:57+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:09:06+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:10:21+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:10:57+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:11:42+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:11:54+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:12:19+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:13:31+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:15:10+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:17:54+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:18:47+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:18:52+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:19:36+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:19:44+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:20:06+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:20:12+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:25:55+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:26:15+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:29:18+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:30:04+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:30:16+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:30:32+01:00 INFO (6): 15204352 (bytes), 14848 (ko), 14.642998027613 (mo) => /bdemiage/extra/contact
2014-03-11T22:34:37+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:34:43+01:00 INFO (6): 14680064 (bytes), 14336 (ko), 14.138067061144 (mo) => /bdemiage/extra/contact
2014-03-11T22:35:20+01:00 INFO (6): 14942208 (bytes), 14592 (ko), 14.390532544379 (mo) => /bdemiage/extra/contact
2014-03-11T22:35:50+01:00 INFO (6): 14942208 (bytes), 14592 (ko), 14.390532544379 (mo) => /bdemiage/extra/contact
2014-03-11T22:37:58+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:39:50+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:40:35+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:41:06+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:41:17+01:00 INFO (6): 14155776 (bytes), 13824 (ko), 13.633136094675 (mo) => /bdemiage/extra/contact
2014-03-11T22:42:10+01:00 INFO (6): 12845056 (bytes), 12544 (ko), 12.370808678501 (mo) => /bdemiage/
